,id_image,Price,Beds,Baths,Square Feet,Street,City,Toilets,COUNTY,median_listing_price
258,44308 Heaton Ave,330000.0,4,3,1112.0,44308 Heaton Ave,LANCASTER,0,LANCASTER,422034.5
212,444 San Antonio Rd APT 6A,1910000.0,3,3,1826.0,444 San Antonio Rd APT 6A,PALO ALTO,0,PALO ALTO,184900.0
44,4450 La Paz Ln,1880000.0,3,4,3168.0,4450 La Paz Ln,SANTA ROSA,0,SANTA ROSA,386210.0
215,448 Zaton Ave,1500000.0,3,1,1200.0,448 Zaton Ave,SAN JOSE,0,SAN JOSE,11.484.090.909.090.900
50,4487 Sirius Ave,730000.0,5,3,2404.0,4487 Sirius Ave,LOMPOC,0,LOMPOC,730000.0
158,45 Corte Madera,643000.0,4,3,3000.0,45 Corte Madera,LAKE ELSINORE,0,LAKE ELSINORE,643000.0
267,4527 Jasmine Ave,1920000.0,4,2,1838.0,4527 Jasmine Ave,CULVER CITY,0,CULVER CITY,1920000.0
177,45597 Olympic Way,875000.0,5,3,2818.0,45597 Olympic Way,TEMECULA,0,TEMECULA,834500.0
257,45714 Balmoral Ct,475000.0,4,3,1898.0,45714 Balmoral Ct,LANCASTER,0,LANCASTER,422034.5
118,4645 Santa Monica Ave,2100000.0,4,4,3000.0,4645 Santa Monica Ave,SAN DIEGO,0,SAN DIEGO,977000.0
41,471 Pleasant Hill Ave N,1210000.0,3,2,1644.0,471 Pleasant Hill Ave N,SEBASTOPOL,0,SEBASTOPOL,1210000.0
277,4750 Templeton St APT 1110,590000.0,2,2,1075.0,4750 Templeton St APT 1110,LOS ANGELES,0,LOS ANGELES,1003125.0
117,4758 Narragansett Ave,1250000.0,1,1,792.0,4758 Narragansett Ave,SAN DIEGO,0,SAN DIEGO,977000.0
170,48651 Shady View Dr,1900000.0,3,4,3474.0,48651 Shady View Dr,PALM DESERT,0,PALM DESERT,7.448.333.333.333.330
313,4913 Sharynne Ln,1480000.0,3,2,1719.0,4913 Sharynne Ln,TORRANCE,0,TORRANCE,274975.0
303,4930 E Atherton St,825000.0,3,3,1865.0,4930 E Atherton St,LONG BEACH,0,LONG BEACH,1.102.857.142.857.140
196,4945 Creekside Dr,41500.0,3,2,1689.0,4945 Creekside Dr,EL DORADO,0,GRIZZLY FLATS,310750.0
248,500 N Frederic St,1410000.0,4,2,1942.0,500 N Frederic St,BURBANK,0,BURBANK,1385000.0
294,500 N Rosemead Blvd APT 12,680000.0,2,3,1315.0,500 N Rosemead Blvd APT 12,PASADENA,0,PASADENA,680000.0
95,500 N The Strand UNIT 41,950000.0,1,1,860.0,500 N The Strand UNIT 41,OCEANSIDE,0,OCEANSIDE,945000.0
77,5028 Shenandoah St,437500.0,2,1,903.0,5028 Shenandoah St,VENTURA,0,VENTURA,1057000.0
208,50942 Conifer Dr,710000.0,3,2,2468.0,50942 Conifer Dr,PLACER,0,OLYMPIC VALLEY,1530000.0
243,5100 Riverton Ave UNIT 9,850000.0,3,3,1683.0,5100 Riverton Ave UNIT 9,LOS ANGELES,0,LOS ANGELES,1003125.0
92,5143 Via Mindanao,1050000.0,5,3,2854.0,5143 Via Mindanao,OCEANSIDE,0,OCEANSIDE,945000.0
32,5145 Mono Ct,910000.0,4,3,2080.0,5145 Mono Ct,FAIRFIELD,0,FAIRFIELD,4.687.166.666.666.660
295,521 Inverness Dr,3220000.0,4,5,4212.0,521 Inverness Dr,LOS ANGELES,0,LOS ANGELES,1003125.0
226,5220 Makati Cir,727500.0,2,2,1233.0,5220 Makati Cir,SAN JOSE,0,SAN JOSE,11.484.090.909.090.900
307,5230 E El Cedral St,1880000.0,3,2,1697.0,5230 E El Cedral St,LONG BEACH,0,LONG BEACH,1.102.857.142.857.140
291,534 Olmsted Dr,1240000.0,3,2,1688.0,534 Olmsted Dr,GLENDALE,0,GLENDALE,1176663.0
29,538 Willow St,1030000.0,2,1,1010.0,538 Willow St,REDWOOD CITY,0,REDWOOD CITY,1030000.0
239,5420 Sylmar Ave APT 213,582500.0,2,2,1172.0,5420 Sylmar Ave APT 213,LOS ANGELES,0,LOS ANGELES,1003125.0
47,5455 8th St UNIT 95,785000.0,2,2,1115.0,5455 8th St UNIT 95,CARPINTERIA,0,CARPINTERIA,785000.0
195,560 Key Blvd,875000.0,3,2,1296.0,560 Key Blvd,RICHMOND,0,RICHMOND,356593.75
139,5615 Benito St,700000.0,4,2,1504.0,5615 Benito St,MONTCLAIR,0,MONTCLAIR,700000.0
235,5700 Etiwanda Ave UNIT 105,510000.0,3,2,1075.0,5700 Etiwanda Ave UNIT 105,LOS ANGELES,0,LOS ANGELES,1003125.0
236,5700 Etiwanda Ave UNIT 167,415000.0,2,2,938.0,5700 Etiwanda Ave UNIT 167,LOS ANGELES,0,LOS ANGELES,1003125.0
202,5702 N Millbrook Ave,395000.0,3,2,1418.0,5702 N Millbrook Ave,FRESNO,0,FRESNO,445000.0
181,5712 Pearl Dr,25000.0,3,2,1689.0,5712 Pearl Dr,PARADISE,0,PARADISE,25000.0
259,5815 Braeloch St,840000.0,5,4,3246.0,5815 Braeloch St,LOS ANGELES,0,LOS ANGELES,1003125.0
221,5840 Antigua Dr,2110000.0,4,3,2204.0,5840 Antigua Dr,SAN JOSE,0,SAN JOSE,11.484.090.909.090.900
184,5844 Yawl St,450000.0,2,2,1354.0,5844 Yawl St,CONTRA COSTA,0,DISCOVERY BAY,1115000.0
193,5900 Poinsett Ave,1450000.0,5,3,2733.0,5900 Poinsett Ave,EL CERRITO,0,EL CERRITO,1110000.0
121,6090 Rock St,727000.0,3,2,1044.0,6090 Rock St,SAN DIEGO,0,SAN DIEGO,977000.0
219,611 Balfour Dr,595000.0,2,2,867.0,611 Balfour Dr,SAN JOSE,0,SAN JOSE,11.484.090.909.090.900
131,615 W 27th St,405000.0,2,1,917.0,615 W 27th St,SAN BERNARDINO,0,SAN BERNARDINO,505000.0
147,620 Foresthill Ave,585000.0,3,3,1939.0,620 Foresthill Ave,AUBURN,0,AUBURN,585000.0
53,625 Morro Dr,790000.0,4,3,2830.0,625 Morro Dr,SANTA MARIA,0,SANTA MARIA,540000.0
298,630 W 112th St,750000.0,4,2,1902.0,630 W 112th St,LOS ANGELES,0,LOS ANGELES,1003125.0
99,641 Hillhaven Dr,870000.0,3,3,1510.0,641 Hillhaven Dr,SAN MARCOS,0,SAN MARCOS,870000.0
316,6441 Via De Anzar,1980000.0,3,3,2100.0,6441 Via De Anzar,RANCHO PALOS VERDES,0,RANCHO PALOS VERDES,17.366.666.666.666.600
42,6457 Highway 12,685000.0,3,2,1689.0,6457 Highway 12,SANTA ROSA,0,SANTA ROSA,386210.0
172,64629 Brae Burn Ave,385000.0,3,2,1787.0,64629 Brae Burn Ave,DESERT HOT SPRINGS,0,DESERT HOT SPRINGS,270000.0
91,6467 Rainbow Heights Rd,975000.0,3,3,1964.0,6467 Rainbow Heights Rd,SAN DIEGO,0,SAN DIEGO,977000.0
9,65 Digby St,1460000.0,3,3,1900.0,65 Digby St,SAN FRANCISCO,0,SAN FRANCISCO,1198700.0
93,6602 Bobritt Ln,1500000.0,3,3,2817.0,6602 Bobritt Ln,SAN DIEGO,0,SAN DIEGO,977000.0
17,6660 Navajoa Ave,654000.0,3,2,2059.0,6660 Navajoa Ave,ATASCADERO,0,ATASCADERO,7.663.333.333.333.330
287,6700 Hillpark Dr APT 203,645000.0,2,2,1154.0,6700 Hillpark Dr APT 203,LOS ANGELES,0,LOS ANGELES,1003125.0
152,6741 Huntsman St,625000.0,3,2,1294.0,6741 Huntsman St,RIVERSIDE,0,RIVERSIDE,642497.0
201,6769 N Hazel Ave,480000.0,3,2,1894.0,6769 N Hazel Ave,FRESNO,0,FRESNO,445000.0
120,6776 Lambert Way,730000.0,2,3,1348.0,6776 Lambert Way,SAN DIEGO,0,SAN DIEGO,977000.0
231,6815 Remmet Ave UNIT 217,368000.0,1,1,619.0,6815 Remmet Ave UNIT 217,LOS ANGELES,0,LOS ANGELES,1003125.0
286,6830 De Longpre Ave,940000.0,2,2,910.0,6830 De Longpre Ave,LOS ANGELES,0,LOS ANGELES,1003125.0
175,68345 Tortuga Rd,670000.0,4,3,2555.0,68345 Tortuga Rd,CATHEDRAL CITY,0,CATHEDRAL CITY,635000.0
174,68855 Vista Chino,600000.0,3,2,2016.0,68855 Vista Chino,CATHEDRAL CITY,0,CATHEDRAL CITY,635000.0
289,6887 Yeager Pl,881000.0,2,2,1434.0,6887 Yeager Pl,LOS ANGELES,0,LOS ANGELES,1003125.0
213,692 Vanderbilt Dr,2860000.0,4,3,1990.0,692 Vanderbilt Dr,SUNNYVALE,0,SUNNYVALE,2860000.0
288,7048 Macapa Dr,4000000.0,3,3,2949.0,7048 Macapa Dr,LOS ANGELES,0,LOS ANGELES,1003125.0
284,709 Coronado Ter,1330000.0,3,3,1614.0,709 Coronado Ter,LOS ANGELES,0,LOS ANGELES,1003125.0
173,71000 Tamarisk Ln,2570000.0,3,5,5173.0,71000 Tamarisk Ln,RANCHO MIRAGE,0,RANCHO MIRAGE,1715000.0
217,712 Cassaday Ct,630000.0,2,2,912.0,712 Cassaday Ct,SAN JOSE,0,SAN JOSE,11.484.090.909.090.900
109,7125 Caminito Pantoja,1400000.0,3,3,1630.0,7125 Caminito Pantoja,SAN DIEGO,0,SAN DIEGO,977000.0
285,726 N Las Palmas Ave,2000000.0,2,2,1765.0,726 N Las Palmas Ave,LOS ANGELES,0,LOS ANGELES,1003125.0
247,730 N Niagara St,1360000.0,3,2,1605.0,730 N Niagara St,BURBANK,0,BURBANK,1385000.0
129,731 N Riverside Ave,605000.0,3,2,1786.0,731 N Riverside Ave,RIALTO,0,RIALTO,605000.0
165,73203 Cold Springs Way,279000.0,2,2,1520.0,73203 Cold Springs Way,PALM DESERT,0,PALM DESERT,7.448.333.333.333.330
107,7403 Northrup Dr,1060000.0,3,2,1008.0,7403 Northrup Dr,SAN DIEGO,0,SAN DIEGO,977000.0
111,7413 Fairway Rd,8.140.000.000.000.000,3,5,5042.0,7413 Fairway Rd,SAN DIEGO,0,SAN DIEGO,977000.0
97,7424 Melodia Ter,2100000.0,4,3,2642.0,7424 Melodia Ter,CARLSBAD,0,CARLSBAD,2100000.0
20,7475 Balboa Rd,995000.0,3,3,1797.0,7475 Balboa Rd,ATASCADERO,0,ATASCADERO,7.663.333.333.333.330
167,75436 Augusta Dr,875000.0,4,5,3068.0,75436 Augusta Dr,INDIAN WELLS,0,INDIAN WELLS,875000.0
314,761 Via Del Monte,3120000.0,5,5,4380.0,761 Via Del Monte,PALOS VERDES ESTATES,0,PALOS VERDES ESTATES,3120000.0
211,765 San Antonio Rd APT 86,913898.0,2,1,946.0,765 San Antonio Rd APT 86,PALO ALTO,0,PALO ALTO,184900.0
169,77533 Michigan Dr,595000.0,3,2,1710.0,77533 Michigan Dr,PALM DESERT,0,PALM DESERT,7.448.333.333.333.330
7,78 Niagara Ave,1210000.0,2,2,1200.0,78 Niagara Ave,SAN FRANCISCO,0,SAN FRANCISCO,1198700.0
145,7926 Mesa Rd,400000.0,3,2,1897.0,7926 Mesa Rd,SAN BERNARDINO,0,SAN BERNARDINO,505000.0
192,8 Orchard Ln,1780000.0,4,3,2460.0,8 Orchard Ln,CONTRA COSTA,0,DISCOVERY BAY,1115000.0
8,800 Junipero Serra Blvd,2050000.0,3,3,2200.0,800 Junipero Serra Blvd,SAN FRANCISCO,0,SAN FRANCISCO,1198700.0
18,8050 San Clemente Ave,650000.0,3,2,1560.0,8050 San Clemente Ave,ATASCADERO,0,ATASCADERO,7.663.333.333.333.330
282,808 S Ramona St APT C,725000.0,3,3,1709.0,808 S Ramona St APT C,SAN GABRIEL,0,SAN GABRIEL,725000.0
283,810 W Naomi Ave UNIT 6,798000.0,3,2,1600.0,810 W Naomi Ave UNIT 6,ARCADIA,0,ARCADIA,798000.0
322,816 Reed Dr,900000.0,3,2,1610.0,816 Reed Dr,CLAREMONT,0,CLAREMONT,900000.0
80,823 Kingfisher Way,610000.0,3,3,1750.0,823 Kingfisher Way,OXNARD,0,OXNARD,610000.0
24,827 S Humboldt St,2000000.0,3,2,1883.0,827 S Humboldt St,SAN MATEO,0,SAN MATEO,1596500.0
160,846 Birch Dr,165000.0,2,1,820.0,846 Birch Dr,SAN JACINTO,0,SAN JACINTO,271975.0
260,8539 W Avenue L,333000.0,8,4,3944.0,8539 W Avenue L,LANCASTER,0,LANCASTER,422034.5
57,872 Richland Ave,420000.0,3,2,1272.0,872 Richland Ave,MODESTO,0,MODESTO,415000.0
12,8728 Lianna Ct,322500.0,2,2,1070.0,8728 Lianna Ct,STOCKTON,0,STOCKTON,472500.0
250,8914 Valjean Ave,875000.0,3,2,1234.0,8914 Valjean Ave,LOS ANGELES,0,LOS ANGELES,1003125.0
13,8936 Cherry Hills Pl,540000.0,4,3,2186.0,8936 Cherry Hills Pl,STOCKTON,0,STOCKTON,472500.0
49,904 Crown Ave,2280000.0,4,3,2528.0,904 Crown Ave,SANTA BARBARA,0,SANTA BARBARA,1749500.0
266,917 Pacific Ave,4050000.0,5,4,4200.0,917 Pacific Ave,MANHATTAN BEACH,0,MANHATTAN BEACH,4050000.0
144,920 Alpenweg Dr,735000.0,3,2,1580.0,920 Alpenweg Dr,BIG BEAR LAKE,0,BIG BEAR LAKE,735000.0
113,9228 Elton Dr,555000.0,2,2,860.0,9228 Elton Dr,SANTEE,0,SANTEE,555000.0
137,9297 Pinon Ave,510000.0,4,3,2297.0,9297 Pinon Ave,HESPERIA,0,HESPERIA,3.817.333.333.333.330
46,9420 Elsie Way,1630000.0,5,4,3345.0,9420 Elsie Way,WINDSOR,0,WINDSOR,470000.0
301,9664 Prichard St,794900.0,4,3,1628.0,9664 Prichard St,BELLFLOWER,0,BELLFLOWER,794900.0
133,9870 Tangelo Ave,545000.0,3,2,1474.0,9870 Tangelo Ave,SAN BERNARDINO,0,SAN BERNARDINO,505000.0
45,9961 Herb Rd,1830000.0,4,3,2808.0,9961 Herb Rd,WINDSOR,0,WINDSOR,470000.0
269,999 N Doheny Dr APT 906,1000000.0,3,1,613.0,999 N Doheny Dr APT 906,WEST HOLLYWOOD,0,WEST HOLLYWOOD,1000000.0
