,id_image,Price,Beds,Baths,Square Feet,Street,City,Toilets,COUNTY,median_listing_price
176,36594 Royal Sage Ct,495000.0,2,2,1229.0,36594 Royal Sage Ct,PALM DESERT,0,PALM DESERT,7.448.333.333.333.330
134,3669 N Shandin Cir,580000.0,3,2,1754.0,3669 N Shandin Cir,SAN BERNARDINO,0,SAN BERNARDINO,505000.0
240,3713 Royal Woods Dr,1950000.0,4,3,2766.0,3713 Royal Woods Dr,LOS ANGELES,0,LOS ANGELES,1003125.0
275,3715 Hillcrest Dr,1800000.0,4,4,2400.0,3715 Hillcrest Dr,LOS ANGELES,0,LOS ANGELES,1003125.0
166,38630 Wisteria Dr,725000.0,3,4,2489.0,38630 Wisteria Dr,PALM DESERT,0,PALM DESERT,7.448.333.333.333.330
263,3865 W 132nd St,802000.0,3,2,1110.0,3865 W 132nd St,HAWTHORNE,0,HAWTHORNE,802000.0
242,3873 Berry Dr,2580000.0,4,5,2886.0,3873 Berry Dr,LOS ANGELES,0,LOS ANGELES,1003125.0
126,3874 Palm Ave,640000.0,4,3,1631.0,3874 Palm Ave,SAN DIEGO,0,SAN DIEGO,977000.0
11,3894 Vancouver Cir,555000.0,3,2,1885.0,3894 Vancouver Cir,STOCKTON,0,STOCKTON,472500.0
150,400 Leeward Ct,615000.0,4,3,1977.0,400 Leeward Ct,ROSEVILLE,0,ROSEVILLE,577500.0
264,4021 W 159th St,940000.0,4,2,1456.0,4021 W 159th St,LAWNDALE,0,LAWNDALE,940000.0
262,4054 W 59th Pl,1330000.0,3,2,1415.0,4054 W 59th Pl,LOS ANGELES,0,LOS ANGELES,1003125.0
159,40804 Caballero Dr,378750.0,2,2,1441.0,40804 Caballero Dr,BEAUMONT,0,BEAUMONT,378750.0
128,4099 Huerfano Ave UNIT 219,551500.0,2,2,780.0,4099 Huerfano Ave UNIT 219,SAN DIEGO,0,SAN DIEGO,977000.0
238,4112 Nogales Dr,2600000.0,4,5,4906.0,4112 Nogales Dr,LOS ANGELES,0,LOS ANGELES,1003125.0
64,412 Ryan Ave,340000.0,3,2,1080.0,412 Ryan Ave,MODESTO,0,MODESTO,415000.0
241,4133 Farmdale Ave,3400000.0,5,6,4012.0,4133 Farmdale Ave,LOS ANGELES,0,LOS ANGELES,1003125.0
245,4139 Cahuenga Blvd APT 103,766000.0,2,3,1186.0,4139 Cahuenga Blvd APT 103,LOS ANGELES,0,LOS ANGELES,1003125.0
161,41446 Whittier Ave,410000.0,4,2,1469.0,41446 Whittier Ave,HEMET,0,HEMET,405000.0
110,4145 Combe Way,2040000.0,6,4,2716.0,4145 Combe Way,SAN DIEGO,0,SAN DIEGO,977000.0
140,4173 Kelton Ct,1200000.0,4,3,2404.0,4173 Kelton Ct,CHINO HILLS,0,CHINO HILLS,1350000.0
198,41776 Merriman Ln,230000.0,3,2,1134.0,41776 Merriman Ln,FRESNO,0,FRESNO,445000.0
94,420 Verbena Dr,950000.0,4,3,2841.0,420 Verbena Dr,SAN DIEGO,0,SAN DIEGO,977000.0
72,42339 Road 114,945000.0,4,3,3200.0,42339 Road 114,DINUBA,0,DINUBA,945000.0
309,424 E 7th St,570000.0,3,1,1064.0,424 E 7th St,LONG BEACH,0,LONG BEACH,1.102.857.142.857.140
168,42922 Scirocco Rd,475000.0,2,2,1295.0,42922 Scirocco Rd,PALM DESERT,0,PALM DESERT,7.448.333.333.333.330
119,4312 Collwood Ln,678000.0,2,2,1161.0,4312 Collwood Ln,SAN DIEGO,0,SAN DIEGO,977000.0
203,4368 N Glenn Ave,260000.0,2,1,1044.0,4368 N Glenn Ave,FRESNO,0,FRESNO,445000.0
83,4372 Clearwood Rd,1250000.0,4,4,3709.0,4372 Clearwood Rd,MOORPARK,0,MOORPARK,825000.0
