,id_image,Price,Beds,Baths,Square Feet,Street,City,COUNTY,average_listing_price
91,6467 Rainbow Heights Rd,975000.0,3,3,1964.0,6467 Rainbow Heights Rd,SAN DIEGO,SAN DIEGO,1.834.937
93,6602 Bobritt Ln,1500000.0,3,3,2817.0,6602 Bobritt Ln,SAN DIEGO,SAN DIEGO,1.834.937
120,6776 Lambert Way,730000.0,2,3,1348.0,6776 Lambert Way,SAN DIEGO,SAN DIEGO,1.834.937
109,7125 Caminito Pantoja,1400000.0,3,3,1630.0,7125 Caminito Pantoja,SAN DIEGO,SAN DIEGO,1.834.937
107,7403 Northrup Dr,1060000.0,3,2,1008.0,7403 Northrup Dr,SAN DIEGO,SAN DIEGO,1.834.937
111,7413 Fairway Rd,8.140.000.000.000.000,3,5,5042.0,7413 Fairway Rd,SAN DIEGO,SAN DIEGO,1.834.937
1,114 10th Ave,1850000.0,3,2,2181.0,114 10th Ave,SAN FRANCISCO,SAN FRANCISCO,1.939.987
5,195 Ledyard St,1450000.0,5,4,2024.0,195 Ledyard St,SAN FRANCISCO,SAN FRANCISCO,1.939.987
2,1982 44th Ave,1450000.0,3,2,1150.0,1982 44th Ave,SAN FRANCISCO,SAN FRANCISCO,1.939.987
4,216 Dorland St,1360000.0,2,2,1132.0,216 Dorland St,SAN FRANCISCO,SAN FRANCISCO,1.939.987
0,2200 Sacramento St APT 206,1720000.0,2,2,969.0,2200 Sacramento St APT 206,SAN FRANCISCO,SAN FRANCISCO,1.939.987
6,229 Winfield St,950000.0,4,1,1375.0,229 Winfield St,SAN FRANCISCO,SAN FRANCISCO,1.939.987
3,2731 41st Ave,1310000.0,2,1,1012.0,2731 41st Ave,SAN FRANCISCO,SAN FRANCISCO,1.939.987
9,65 Digby St,1460000.0,3,3,1900.0,65 Digby St,SAN FRANCISCO,SAN FRANCISCO,1.939.987
7,78 Niagara Ave,1210000.0,2,2,1200.0,78 Niagara Ave,SAN FRANCISCO,SAN FRANCISCO,1.939.987
8,800 Junipero Serra Blvd,2050000.0,3,3,2200.0,800 Junipero Serra Blvd,SAN FRANCISCO,SAN FRANCISCO,1.939.987
282,808 S Ramona St APT C,725000.0,3,3,1709.0,808 S Ramona St APT C,SAN GABRIEL,LOS ANGELES,2.606.021
160,846 Birch Dr,165000.0,2,1,820.0,846 Birch Dr,SAN JACINTO,RIVERSIDE,943.348
10,1801 Orchis Ct,650000.0,4,3,2285.0,1801 Orchis Ct,LODI,SAN JOAQUIN,676.621
16,1675 Lyle Ln,811000.0,4,3,1998.0,1675 Lyle Ln,PASO ROBLES,SAN LUIS OBISPO,1.568.222
19,330 E Ormonde Rd,1570000.0,3,2,2500.0,330 E Ormonde Rd,ARROYO GRANDE,SAN LUIS OBISPO,1.568.222
17,6660 Navajoa Ave,654000.0,3,2,2059.0,6660 Navajoa Ave,ATASCADERO,SAN LUIS OBISPO,1.568.222
20,7475 Balboa Rd,995000.0,3,3,1797.0,7475 Balboa Rd,ATASCADERO,SAN LUIS OBISPO,1.568.222
18,8050 San Clemente Ave,650000.0,3,2,1560.0,8050 San Clemente Ave,ATASCADERO,SAN LUIS OBISPO,1.568.222
