OBJECTID,COUNTY,CITY,SHAPE_Length,SHAPE_Area
154,Orange,Garden Grove,75728.7077949264,67328032.9666709
155,Los Angeles,Gardena,24272.2341256599,22071813.9205083
156,Santa Clara,Gilroy,73015.2631081162,67431297.2794593
157,Los Angeles,Glendale,70336.191346264,116231433.249939
158,Los Angeles,Glendora,59814.3262326629,74515449.9262672
159,Santa Barbara,Goleta,46802.1306678649,30092246.8956209
160,Monterey,Gonzales,27134.3398549037,7545441.73848022
161,San Bernardino,Grand Terrace,21841.2250694831,13349239.4719999
162,Nevada,Grass Valley,59397.7448823802,26922979.0908142
163,Monterey,Greenfield,30925.4039772309,12209154.0643408
164,Butte,Gridley,26522.1131004787,9964199.17436126
165,San Luis Obispo,Grover Beach,15132.2391028586,9027563.97264945
166,Santa Barbara,Guadalupe,17925.4478866387,5149501.49733684
167,Merced,Gustine,29208.4141473763,7397082.03089299
168,San Mateo,Half Moon Bay,42114.3426124219,25342230.1985785
169,Kings,Hanford,87024.6842186307,71971659.0107018
170,Los Angeles,Hawaiian Gardens,9456.85054287884,3590395.92473228
171,Los Angeles,Hawthorne,40451.3896128779,22848028.1474595
172,Alameda,Hayward,150960.216400804,187926714.360799
173,Sonoma,Healdsburg,41332.294590702,18654908.8652815
174,Riverside,Hemet,87602.168276641,109830880.876699
175,Contra Costa,Hercules,32377.2359165595,26787907.089032
176,Los Angeles,Hermosa Beach,10506.4189834707,5487784.65940198
177,San Bernardino,Hesperia,163259.601762943,277190053.378591
178,Los Angeles,Hidden Hills,15762.6597660071,6400680.48246001
179,San Bernardino,Highland,81842.6714075798,70780878.8788537
180,San Mateo,Hillsborough,33968.9272099256,25561624.4405618
181,San Benito,Hollister,90724.1605861526,33155414.0786204
182,Imperial,Holtville,15518.7707456685,4277492.62694369
183,Stanislaus,Hughson,17654.6771610778,7453066.92639961
184,Orange,Huntington Beach,77682.7855578144,103208428.20164
185,Los Angeles,Huntington Park,24400.3757906108,11402981.5994725
186,Fresno,Huron,17300.2652166985,6737058.14932402
187,Imperial,Imperial,43030.9829509035,23161096.2223137
188,San Diego,Imperial Beach,20877.2147993903,15916120.9057992
189,Riverside,Indian Wells,37000.3789555195,54714791.7670414
190,Riverside,Indio,88236.0905889909,128486308.975921
191,Los Angeles,Industry,134966.27935741,45486035.0815875
192,Los Angeles,Inglewood,33226.1318841621,34347661.1003803
193,Amador,Ione,29435.8177192051,19481241.3335355
194,Orange,Irvine,95122.6912902474,247401856.206737
195,Los Angeles,Irwindale,48481.23194286,36466011.8093565
196,Sacramento,Isleton,10250.5045718096,1958408.88576455
197,Amador,Jackson,34718.1531706382,15153684.5904533
198,Riverside,Jurupa Valley,61890.0615490271,164923878.262024
199,Fresno,Kerman,22574.9030081228,13607245.8611179
200,Monterey,King City,31565.1982754187,16014595.2945054
201,Fresno,Kingsburg,30115.6085139164,15204600.4397384
202,Los Angeles,La Cañada Flintridge,33986.9652729618,32825753.9052148
203,Orange,La Habra,27108.1498336886,28562246.8131918
204,Los Angeles,La Habra Heights,25717.6679155575,23237658.9308721
205,San Diego,La Mesa,49608.2904252939,33194719.7428954
206,Los Angeles,La Mirada,29339.4142473851,29566088.2279744
207,Orange,La Palma,16510.7887691079,6802321.96989127
208,Los Angeles,La Puente,31989.2978745531,13139034.4298323
209,Riverside,La Quinta,74293.229122621,133849046.403708
210,Los Angeles,La Verne,42546.1444125944,32257082.1347088
211,Contra Costa,Lafayette,55338.3831148996,63283520.4920538
212,Orange,Laguna Beach,64389.0862318355,33138916.6299709
213,Orange,Laguna Hills,36409.4751324367,24878974.0461665
214,Orange,Laguna Niguel,44223.7400642561,55229711.1187241
215,Orange,Laguna Woods,27897.5637052062,12378183.5001624
216,Riverside,Lake Elsinore,113953.131989199,163036845.515061
217,Orange,Lake Forest,39881.6125289097,62917505.1146371
218,Lake,Lakeport,27465.1797743357,13401014.9149635
219,Los Angeles,Lakewood,45731.4564949976,35596072.5075268
220,Los Angeles,Lancaster,252267.669277932,362603667.778439
221,Marin,Larkspur,30788.3420508877,13293315.2309746
222,San Joaquin,Lathrop,67107.0962144622,87016053.6994388
223,Los Angeles,Lawndale,13589.2990917114,7442780.83867978
224,San Diego,Lemon Grove,23548.0324742558,14357877.1108439
225,Kings,Lemoore,40890.4411989298,38913019.0425252
226,Placer,Lincoln,65465.9506713864,101593332.067558
227,Tulare,Lindsay,24491.6124148178,10821316.0442784
228,Sutter,Live Oak,27348.6499959488,13470636.9944393
229,Alameda,Livermore,105363.329016143,110339067.097086
230,Merced,Livingston,28543.0065862552,15185179.4851114
231,San Joaquin,Lodi,62878.7887841753,58646344.6009066
232,San Bernardino,Loma Linda,29108.8779855267,32998242.9603879
233,Los Angeles,Lomita,16515.6230952438,7217657.18873299
234,Santa Barbara,Lompoc,48729.222471667,44921248.2778776
235,Los Angeles,Long Beach,120342.453096822,195374789.62533
236,Placer,Loomis,37187.1496304939,31363962.6380983
237,Orange,Los Alamitos,25658.7842964288,15409172.5779968
238,Santa Clara,Los Altos,42741.9647932818,26806472.1815323
239,Santa Clara,Los Altos Hills,44258.5727888145,37228036.3679618
240,Los Angeles,Los Angeles,596444.925917448,1783699494.08801
241,Merced,Los Banos,57222.7081229144,43298500.3281319
242,Santa Clara,Los Gatos,93473.7479396479,47696895.6860586
243,Sierra,Loyalton,5251.28869066128,1489336.31232239
244,Los Angeles,Lynwood,26554.2639184891,18294345.5413721
245,Madera,Madera,76399.8717071661,79833175.6628796
