OBJECTID,COUNTY,CITY,SHAPE_Length,SHAPE_Area
472,Sonoma,Windsor,57543.5305993551,31982572.2337582
473,Yolo,Winters,24490.1125816714,10804762.339716
474,Tulare,Woodlake,29231.0649497803,13124119.1123401
475,Yolo,Woodland,73095.5187464139,63904987.2344714
476,San Mateo,Woodside,59404.6376184306,47181679.9713434
477,Orange,Yorba Linda,73709.6953217599,75095133.6906946
478,Napa,Yountville,18166.7768406356,6139924.12848616
479,Siskiyou,Yreka,64683.1922662141,46798868.3535061
480,Sutter,Yuba City,81828.8902178417,71791121.1827297
481,San Bernardino,Yucaipa,66660.7734146746,106858391.808675
482,San Bernardino,Yucca Valley,63739.2363936592,150931680.35361
